,club_name,club_loc,club_id,club_zone
0, 209 Water Polo Club,"Primary Pool:
				Buhach Colony High School
				1800 Buhach RoadAtwater, CA
				","
				 
					Club ID: 31318
 
				
			",10008
1, A-Town Water Polo Club,"Primary Pool:
				Atascadero High School
				1 High School HillAtascadero, CA  93422
				","
				 
					Club ID: 30234
 
				
			",10008
2, Alumni Water Polo Club,"Primary Pool:
				Granite Bay High School Pool
				1 Grizzly WayGranite Bay, CA  95746
				","
				 
					Club ID: 23883
 
				
			",10008
3, American River Water Polo Club,"Primary Pool:
				Rio Americano High School
				4540 American River DrSacramento, CA  95864
				","
				 
					Club ID: 85
 
				
			",10008
4, Arroyo Grande Water Polo,"Primary Pool:
				Arroyo Grande High School
				495 Valley RdArroyo Grande, CA  93420
				","
				 
					Club ID: 21063
 
				
			",10008
5, Asa Aquatics,"Primary Pool:
				El Capitan High School (Merced)
				100 FarmlandMerced, CA  95348
				","
				 
					Club ID: 19513
 
				
			",10008
6, Bakersfield Water Polo Club,"Primary Pool:
				Garces Memorial High School
				2800 Loma Linda Dr.Bakersfield, CA  93312
				","
				 
					Club ID: 16629
 
				
			",10008
7, BarDown Water Polo Academy,"Primary Pool:
				CSU Stanislaus
				One University CircleTurlock, CA  95382
				","
				 
					Club ID: 31674
 
				
			",10008
8, Blazer Water Polo Club,"Primary Pool:
				Golden West High School
				1717 N. McauliffVisalia, CA  93292
				","
				 
					Club ID: 16120
 
				
			",10008
9, Bulldog Water Polo Club,"Primary Pool:
				Fresno State Aquatics Complex
				5305 N Campus Dr, M/S NG27Fresno, CA  93740
				","
				 
					Club ID: 31612
 
				
			",10008
10, California Gold,"Primary Pool:
				Tracy High School
				474 W. 23Rd St.Tracy, CA  95376
				","
				 
					Club ID: 33546
 
				
			",10008
11, California Republic SC,"Primary Pool:
				American River College
				4700 College Oak Dr.Sacramento, CA  95841
				","
				 
					Club ID: 26152
 
				
			",10008
12, Capital City Masters Water Polo Club,"Primary Pool:
				American River College
				4700 College Oak Dr.Sacramento, CA  95841
				","
				 
					Club ID: 34421
 
				
			",10008
13, Central Tsunami Aquatic Club,"Primary Pool:
				Central Unified Aquatics Complex
				3535 N. Cornelia AveFresno, CA  93722
				","
				 
					Club ID: 34208
 
				
			",10008
14, Central Valley Water Polo Club,"Primary Pool:
				Sunnyside High School Pool
				1019 S. Peach AveFresno, CA  93727
				","
				 
					Club ID: 1675
 
				
			",10008
15, Clovis Water Polo Club,"Primary Pool:
				Clovis West High School
				1070 E TeagueFresno, CA  93611
				","
				 
					Club ID: 47
 
				
			",10008
16, Concord Aquatics,"Primary Pool:
				De La Salle High School
				1130 Winton DriveConcord, CA  94518
				","
				 
					Club ID: 33982
 
				
			",10008
17, Davis Water Polo Club,"Primary Pool:
				UC Davis Schaal Aquatic Center
				One Shields AvenueDavis, CA  95616
				","
				 
					Club ID: 79
 
				
			",10008
18, Dixon Water Polo Club,"Primary Pool:
				Dixon Community Pool
				885 Alexander Dr.Dixon, CA  95620
				","
				 
					Club ID: 18313
 
				
			",10008
19, Echo Aquatics,"Primary Pool:
				Fresno High School
				1839 N. Echo Ave
Fresno, CA  93722
				","
				 
					Club ID: 34492
 
				
			",10008
20, Exeter Water Polo,"Primary Pool:
				Exeter Union High School
				 Rocky Hill Dr.Exeter, CA  93221
				","
				 
					Club ID: 30557
 
				
			",10008
21, Fresno Dolphins Water Polo,"Primary Pool:
				Bullard High School Aquatics Complex
				5445 N. Palm AveFresno, CA  93704
				","
				 
					Club ID: 1317
 
				
			",10008
22, Gold Country Water Polo Club,"Primary Pool:
				Ponderosa High School
				3661 Ponderosa Rd.Shingle Springs, CA  95682
				","
				 
					Club ID: 34390
 
				
			",10008
23, Granite Bay Water Polo Club,"Primary Pool:
				Granite Bay High School Pool
				1 Grizzly WayGranite Bay, CA  95746
				","
				 
					Club ID: 1200
 
				
			",10008
24, Grass Valley Water Polo,"Primary Pool:
				Nevada Union High School
				11761 Ridge RoadGrass Valley, CA  95945
				","
				 
					Club ID: 1230
 
				
			",10008
25, Huskies Water Polo Club,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 16915
 
				
			",10008
26, Kings County United,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 30470
 
				
			",10008
27, Kings River Aquatics Club,"Primary Pool:
				Selma High School
				3125 Wright StSelma, CA  93662
				","
				 
					Club ID: 25928
 
				
			",10008
28, Kings Water Polo Club,"Primary Pool:
				Hanford East High School
				120 E. Grangeville BlvdHanford, CA  93230
				","
				 
					Club ID: 174
 
				
			",10008
29, Kingsburg Water Polo Club,"Primary Pool:
				Crandell Swim Complex
				1900 18Th AvenueKingsburg, CA  93631
				","
				 
					Club ID: 512
 
				
			",10008
30, LWC,"Primary Pool:
				Lodi Unified School District
				1305 E Vine StreetLodi, CA  95240
				","
				 
					Club ID: 21387
 
				
			",10008
31, Modesto/Stanislaus Water Polo,"Primary Pool:
				Johansen H.S
				641 Norsemen DrModesto, CA  95357
				","
				 
					Club ID: 176
 
				
			",10008
32, Morro Bay Aquatics Club,"Primary Pool:
				Morro Bay High School Aquatic Center
				235 AtasMorro Bay , CA  93442
				","
				 
					Club ID: 33574
 
				
			",10008
33, Napa Premier Aquatics,"Primary Pool:
				Napa Valley College
				2277 Napa-Vallejo HwyNapa, CA  94558
				","
				 
					Club ID: 29787
 
				
			",10008
34, Napa Valley Masters Water Polo Club,"Primary Pool:
				Napa Valley College
				2277 Napa-Vallejo HwyNapa, CA  94558
				","
				 
					Club ID: 19283
 
				
			",10008
35, Nipomo Water Polo Club,"Primary Pool:
				Nipomo High School
				525 North Thompson RdNipomo, CA  93454
				","
				 
					Club ID: 18154
 
				
			",10008
36, Northern Sierra Water Polo,"Primary Pool:
				Bear River High School
				11130 Magnolia RoadGrass Valley, CA  95945
				","
				 
					Club ID: 22301
 
				
			",10008
37, Oakdale Water Polo,"Primary Pool:
				Oakdale High School
				739 West G StreetOakdale, CA  95361
				","
				 
					Club ID: 16113
 
				
			",10008
38, Orcutt Polo Association/One Way Wp Club,"Primary Pool:
				Ernest Righetti High School
				941 E. Foster Rd.Santa Maria, CA  93455
				","
				 
					Club ID: 48
 
				
			",10008
39, PacWest Water Polo Club,"Primary Pool:
				Hanford West High School
				1150 W. LaceyHanford, CA  93230
				","
				 
					Club ID: 34414
 
				
			",10008
40, Pantera Valle Water Polo,"Primary Pool:
				Pioneer Valley High School
				675 Panther Dr.Santa Maria, CA  93454
				","
				 
					Club ID: 33754
 
				
			",10008
41, Paso Robles Aquatics,"Primary Pool:
				Kennedy Club Fitness
				500 South River Rd.Paso Robles, CA  93446
				","
				 
					Club ID: 30387
 
				
			",10008
42, Pioneer Water Polo Club,"Primary Pool:
				Mt Whitney High School Pool
				900 S ConyerVisalia, CA  93277
				","
				 
					Club ID: 17368
 
				
			",10008
43, Porterville Water Polo,"Primary Pool:
				Porterville High School Pool
				465 W OlivePorterville, CA  93257
				","
				 
					Club ID: 563
 
				
			",10008
44, Praetorian Water Polo,"Primary Pool:
				Hoover High School
				5550 N First AveFresno, CA  93710
				","
				 
					Club ID: 21194
 
				
			",10008
45, Rebel Water Polo Club,"Primary Pool:
				Sanger High School
				1045 BethelSanger, CA  93657
				","
				 
					Club ID: 1488
 
				
			",10008
46, Ripon Aquatics,"Primary Pool:
				Ripon High School
				301 N. AcaciaRipon, CA  95366
				","
				 
					Club ID: 15834
 
				
			",10008
47, Royal 559 Academy,"Primary Pool:
				Clovis West High School
				1070 E TeagueFresno, CA  93611
				","
				 
					Club ID: 30218
 
				
			",10008
48, Sacramento Water Polo,"Primary Pool:
				Sierra College
				5000 Rocklin RoadRocklin, CA  95677
				","
				 
					Club ID: 630
 
				
			",10008
49, San Luis Obispo Water Polo,"Primary Pool:
				Sinshimer Pool
				900 Southwood DRSan Luis Obispo, CA  93401
				","
				 
					Club ID: 218
 
				
			",10008
50, Skimmers Polo,"Primary Pool:
				Merced College
				3600 M StreetMerced, CA  95348
				","
				 
					Club ID: 30096
 
				
			",10008
51, Solano County Water Polo Club,"Primary Pool:
				Cunningham Aquatic Complex
				801 Heartwood AvenueVallejo, CA  94591
				","
				 
					Club ID: 31388
 
				
			",10008
52, Sonora Water Polo,"Primary Pool:
				Sonora High School
				430 N. Washington St.Sonora, CA  95370
				","
				 
					Club ID: 1218
 
				
			",10008
53, South Valley Water Polo,"Primary Pool:
				El Diamante High School Pool
				5100 W AkersVisalia, CA  93277
				","
				 
					Club ID: 17247
 
				
			",10008
54, Timberwolves Water Polo Club,"Primary Pool:
				Reagan Educational Center Aquatics Facility
				2940 N Leonard AvenueClovis, CA  93619
				","
				 
					Club ID: 32671
 
				
			",10008
55, Tollhouse Water Polo Club,"Primary Pool:
				Larry Wait Swim Complex
				33326 Lodge Rd. Tollhouse, CA  93667
				","
				 
					Club ID: 30674
 
				
			",10008
56, Tulare Water Polo Club,"Primary Pool:
				Tulare Union Pool
				755 E. Tulare AveTulare, CA  93274
				","
				 
					Club ID: 33602
 
				
			",10008
57, Turlock United Water Polo Club,"Primary Pool:
				Turlock High School
				1600 E CanalTurlock, CA  95380
				","
				 
					Club ID: 354
 
				
			",10008
58, University Pacific Water Polo,"Primary Pool:
				St. Mary's College Prepatory
				5648 North El Dorado StreetStockton, CA  95207
				","
				 
					Club ID: 29
 
				
			",10008
59, Valley Water Polo Club,"Primary Pool:
				Monache High School Pool
				960 N NewcombPorterville, CA  93257
				","
				 
					Club ID: 737
 
				
			",10008
60, Visalia Area Water Polo,"Primary Pool:
				El Diamante High School Pool
				5100 W AkersVisalia, CA  93277
				","
				 
					Club ID: 17051
 
				
			",10008
61, Visalia United Water Polo Club,"Primary Pool:
				Redwood High School Pool
				1001 W Main StVisalia, CA  93291
				","
				 
					Club ID: 22876
 
				
			",10008
62, West Fresno Water Polo Club,"Primary Pool:
				Edison High School
				540 E CaliforniaFresno, CA  93706
				","
				 
					Club ID: 24005
 
				
			",10008
63," 626 Water Polo Club, Inc","Primary Pool:
				Glendora High School
				1600 E. Foothill Blvd.Glendora, CA  91741
				","
				 
					Club ID: 33734
 
				
			",10011
64, Admiral Water Polo Foundation,"Primary Pool:
				Scade Aquatic Center
				13847 Earlham Dr.Whittier, CA  90602
				","
				 
					Club ID: 25904
 
				
			",10011
65, Aerie Water Polo Club,"Primary Pool:
				Brentwood School
				100 S Barrington PlaceLos Angeles, CA  90049
				","
				 
					Club ID: 30570
 
				
			",10011
66, Agoura Chargers Water Polo Club,"Primary Pool:
				Agoura High School
				28545 Driver Ave.Agoura Hills, CA  91301
				","
				 
					Club ID: 33753
 
				
			",10011
67, Agoura Water Polo Foundation,"Primary Pool:
				Agoura High School
				28545 Driver Ave.Agoura Hills, CA  91301
				","
				 
					Club ID: 1083
 
				
			",10011
68, Blue Thunder Masters Water Polo Club,"Primary Pool:
				Ocean View High School
				17071 Gothard StreetHuntington Beach, CA  92647
				","
				 
					Club ID: 26052
 
				
					
",10011
69, Bruin Water Polo Club,"Primary Pool:
				UCLA Spieker Aquatics Center
				111 Easton Dr.Los Angeles, CA  90095
				","
				 
					Club ID: 1098
 
				
			",10011
70, Cardinal Water Polo (Ca),"Primary Pool:
				Whittier High School
				12417 E. PhiladelphiaWhittier, CA  90601
				","
				 
					Club ID: 727
 
				
			",10011
71, Carpinteria Aquatics Club,"Primary Pool:
				Carpinteria Community Pool
				5305 Carpintera AveCarpinteria, CA  93013
				","
				 
					Club ID: 19569
 
				
			",10011
72, Commerce Aquatics,"Primary Pool:
				Brenda Villa Aquatic Center (formerly Commerce Aquatorium)
				5600 Harbor StCommerce, CA  90040
				","
				 
					Club ID: 24
 
				
			",10011
73, Conejo Valley Water Polo,"Primary Pool:
				Rio Mesa High School
				425 Central Ave3400 Gonzales RD.Oxnard, CA  93030
				","
				 
					Club ID: 23520
 
				
			",10011
74, Conqueror Polo,"Primary Pool:
				Los Altos High School
				15325 E. Los RoblesHacienda Heights, CA  91745
				","
				 
					Club ID: 1019
 
				
			",10011
75, Costa,"Primary Pool:
				Mira Costa High School
				1401 Artesia BlvdManhattan Beach, CA  90266
				","
				 
					Club ID: 793
 
				
			",10011
76, Falcon Polo,"Primary Pool:
				Crescenta Valley High School
				2900 Community AveLa Crescenta, CA  91214
				","
				 
					Club ID: 870
 
				
			",10011
77, Fight On Water Polo Club,"Primary Pool:
				University of Southern California Uytengsu Aquatic Center
				W 34th St.1026 West 34th St.Los Angeles, CA  90089
				","
				 
					Club ID: 34563
 
				
			",10011
78, Foothill Club,"Primary Pool:
				Pomona College- Haldeman Pool
				575 N Amherst AveClaremont, CA  91711
				","
				 
					Club ID: 16519
 
				
			",10011
79, Glendora Storm Water Polo Club,"Primary Pool:
				Glendora High School
				1600 E. Foothill Blvd.Glendora, CA  91741
				","
				 
					Club ID: 34675
 
				
					
",10011
80, Gold Coast Aquatics,"Primary Pool:
				Ventura Community Pool
				Kimball RdVentura, CA  93004
				","
				 
					Club ID: 10
 
				
			",10011
81, Hens Water Polo Club,"Primary Pool:
				Santa Barbara High School
				700 E. AnapamuSanta Barbara, CA  93103
				","
				 
					Club ID: 30628
 
				
			",10011
82, Jackrabbits,"Primary Pool:
				Long Beach Poly
				1600 Atlantic AveLong Beach, CA  90813
				","
				 
					Club ID: 15843
 
				
			",10011
83, LMS Water Polo Club,"Primary Pool:
				La Mirada Splash
				13806 La Mirada Blvd.La Mirada, CA  90638
				","
				 
					Club ID: 23509
 
				
			",10011
84, Long Beach Club,"Primary Pool:
				Long Beach Wilson High School
				4400 E. 10Th StreetLong Beach, CA  90804
				","
				 
					Club ID: 115
 
				
			",10011
85, Long Beach Rams Water Polo,"Primary Pool:
				Millikan High School
				2800 Snowden AveLong Beach, CA  90815
				","
				 
					Club ID: 18193
 
				
			",10011
86, Long Beach Water Polo Club,"Primary Pool:
				California State University Long Beach (CSULB)
				1250 Bellflower Blvd.Long Beach, CA  90840
				","
				 
					Club ID: 19225
 
				
			",10011
87, Los Angeles Premier,"Primary Pool:
				Harvard Westlake High School
				3700 Coldwater CayonStudio City, CA  91604
				","
				 
					Club ID: 22230
 
				
			",10011
88, Los Angeles Water Polo Club,"Primary Pool:
				UCLA Spieker Aquatics Center
				111 Easton Dr.Los Angeles, CA  90095
				","
				 
					Club ID: 1807
 
				
					
",10011
89, Malibu Water Polo Foundation,"Primary Pool:
				Malibu High School
				30215 Morningview Dr.Malibu, CA  90265
				","
				 
					Club ID: 842
 
				
			",10011
90, Mid Valley Water Polo,"Primary Pool:
				El Monte Aquatic Center
				111 Mildred St.El Monte, CA  91731
				","
				 
					Club ID: 1351
 
				
			",10011
91, Mid-City Waves,"Primary Pool:
				Los Angeles Center for Enriched Studies pool
				5931 W. 18th StLos Angeles, CA  90035
				","
				 
					Club ID: 33918
 
				
			",10011
92, NP Water Polo Club,"Primary Pool:
				Newbury Park High School
				456 N. Reino RoadNewbury Park, CA  91320
				","
				 
					Club ID: 16102
 
				
			",10011
93, Offshore,"Primary Pool:
				Los Alamitos Joint Forces Training Base
				Lexington Dr.Los Alamitos, CA  90720
				","
				 
					Club ID: 18434
 
				
			",10011
94, Olimpiakan Reservner (Orwp),"Primary Pool:
				Glendale High School
				1440 E. BroadwayGlendale, CA  91205
				","
				 
					Club ID: 1344
 
				
			",10011
95, Oxnard Water Polo,"Primary Pool:
				Oxnard High School
				3400 W. Gonzales Rd.Oxnard, CA  93030
				","
				 
					Club ID: 1603
 
				
			",10011
96, P.V. Water Polo Club,"Primary Pool:
				Palos Verdes High School
				600 Cloyden RoadPalos Verdes Estates, CA  90274
				","
				 
					Club ID: 17088
 
				
			",10011
97, Paramount Water Polo,"Primary Pool:
				Paramount Pool
				14400 Paramount Blvd. Paramount, CA  90723
				","
				 
					Club ID: 25983
 
				
			",10011
98, Porter Valley Aquatics,"Primary Pool:
				Hubert Humphrey Pool
				12560 Filmore St.Pacoima, CA  91331
				","
				 
					Club ID: 34330
 
				
			",10011
99, Pride Water Polo Academy,"Primary Pool:
				Oaks Christian School
				31749 La Tienda RoadWestlake Village, CA  91362
				","
				 
					Club ID: 25981
 
				
			",10011
100, Raptor Water Polo,"Primary Pool:
				Diamond Bar High School
				21400 Pathfinder Rd.Diamond Bar, CA  91765
				","
				 
					Club ID: 30211
 
				
			",10011
101, Rolling Hills Water Polo,"Primary Pool:
				Palos Verdes Peninsula High School
				27115 Silver Spur RoadRolling Hills Estates, CA  90045
				","
				 
					Club ID: 31207
 
				
			",10011
102, Rose Bowl Water Polo Club,"Primary Pool:
				Rose Bowl Aquatic Center
				360 N. Arroyo BoulevardPasadena, CA  91103
				","
				 
					Club ID: 341
 
				
			",10011
103, Sailor Water Polo Club,"Primary Pool:
				Mar Vista High School
				505 Elm AveImperial Beach, CA  91932
				","
				 
					Club ID: 34593
 
				
			",10011
104, San Gabriel Polo Club,"Primary Pool:
				Monrovia High School
				845 W. Colorado BlvdMonrovia, CA  91016
				","
				 
					Club ID: 31404
 
				
			",10011
105, Santa Barbara 805,"Primary Pool:
				Dos Pueblos High School Pool
				7266 Alameda AveGoleta, CA  93117
				","
				 
					Club ID: 26251
 
				
			",10011
106, Santa Barbara Premier,"Primary Pool:
				UC Santa Barbara Campus Pool
				552 University RdSanta Barbara, CA  93106
				","
				 
					Club ID: 26252
 
				
			",10011
107, Santa Monica Water Polo Club,"Primary Pool:
				Santa Monica High School
				601 Pico BlvdSanta Monica, CA  90405
				","
				 
					Club ID: 19155
 
				
			",10011
108, Santa Ynez Valley Water Polo,"Primary Pool:
				Santa Ynez Valley Union High School
				2975 E Hwy 246Santa Ynez, CA  93460
				","
				 
					Club ID: 735
 
				
			",10011
109, SFV,"Primary Pool:
				San Fernando Regional Pool Facility
				208 Park Ave.San Fernando, CA  91340
				","
				 
					Club ID: 31348
 
				
			",10011
110, Shore Aquatics,"Primary Pool:
				California State University Long Beach (CSULB)
				1250 Bellflower Blvd.Long Beach, CA  90840
				","
				 
					Club ID: 892
 
				
			",10011
111, Simi Water Polo Association,"Primary Pool:
				Rancho Simi Community Park Pool
				1765 Royal AveSimi Valley, CA  93065
				","
				 
					Club ID: 2
 
				
			",10011
112, South Bay United Water Polo Club,"Primary Pool:
				Mira Costa High School
				1401 Artesia BlvdManhattan Beach, CA  90266
				","
				 
					Club ID: 1280
 
				
			",10011
113, South Coast Water Polo Club,"Primary Pool:
				California Lutheran University
				60 W Olson Rd#3400Thousand Oaks, CA  91360
				","
				 
					Club ID: 35
 
				
			",10011
114, Summit Water Polo,"Primary Pool:
				Walnut High School
				400 N. Pierre Rd.Walnut, CA  91789
				","
				 
					Club ID: 34706
 
				
					
",10011
115, Supreme Water Polo,"Primary Pool:
				Notre Dame High School - Sherman Oaks
				13645 Riverside Dr.Sherman Oaks, CA  91423
				","
				 
					Club ID: 33580
 
				
			",10011
116, Temple City Aquatics Club,"Primary Pool:
				Temple City High School
				9501 E. Lemon Ave.Temple City, CA  91780
				","
				 
					Club ID: 34669
 
				
					
",10011
117, Test Club 4,"Primary Pool:
				Citrus College
				1000 W. Foothill Blvd.Glendora, CA  91741
				","
				 
					Club ID: 34056
 
				
			",10011
118, Titan Water Polo Club,"Primary Pool:
				Rio Mesa Community Pool
				545 Central AveOxnard, CA  93030
				","
				 
					Club ID: 1361
 
				
			",10011
119, Tony Azevedo Water Polo,"Primary Pool:
				Belmont Plaza Olympic Pool
				4000 Olympic PlazaLong Beach, CA  90803
				","
				 
					Club ID: 30243
 
				
			",10011
120, Torrance Water Polo Club,"Primary Pool:
				Torrance Aquatic Center
				2320 Crenshaw BlvdTorrance, CA  90501
				","
				 
					Club ID: 34206
 
				
			",10011
121, Tritons,"Primary Pool:
				Oxnard High School
				3400 W. Gonzales Rd.Oxnard, CA  93030
				","
				 
					Club ID: 1895
 
				
			",10011
122, Trojan Water Polo (Ca),"Primary Pool:
				University of Southern California Uytengsu Aquatic Center
				W 34th St.1026 West 34th St.Los Angeles, CA  90089
				","
				 
					Club ID: 87
 
				
			",10011
123, Ventura WPC,"Primary Pool:
				Ventura High School
				Two North CatalinaVentura, CA  93001
				","
				 
					Club ID: 70
 
				
			",10011
124, Waves Water Polo Foundation,"Primary Pool:
				Pepperdine University
				24255 Pacific Coast HwyMalibu, CA  90263
				","
				 
					Club ID: 1845
 
				
			",10011
125, West Hollywood Aquatics,"Primary Pool:
				Van Nuys-Sherman Oaks Swimming Pool
				14201 Huston St.Los Angeles, CA  91423
				","
				 
					Club ID: 55
 
				
			",10011
126, Western Club,"Primary Pool:
				Van Nuys-Sherman Oaks Swimming Pool
				14201 Huston St.Los Angeles, CA  91423
				","
				 
					Club ID: 34000
 
				
			",10011
127, Westlake Warrior Foundation,"Primary Pool:
				Westlake High School
				100 N. Lake Cyn RdWestlake Village, CA  91362
				","
				 
					Club ID: 34396
 
				
			",10011
128, Westside Aquatics,"Primary Pool:
				Palisades Charter High School
				15777 Bowdoin St.Pacific Palisades, CA  90272
				","
				 
					Club ID: 19491
 
				
			",10011
129, WIlson Wildcats Aquatics,"Primary Pool:
				Glen A. Wilson High School
				16455 Wedgeworth DrHacienda Heights, CA  91745
				","
				 
					Club ID: 34132
 
				
			",10011
130, Youngwood Aquatics,"Primary Pool:
				La Serna High School
				15301 E Youngwood DriveWhittier, CA  90605
				","
				 
					Club ID: 30161
 
				
			",10011
131, Calgary Masters,Unknown,"
				 
					Club ID: 19401
 
				
			",17972
132, Calgary Polo Splash,Unknown,"
				 
					Club ID: 17376
 
				
			",17972
133, Black Swamp Water Polo,"Primary Pool:
				Napoleon High School Natatorium
				701 Briarheath DriveNapoleon, OH  43545
				","
				 
					Club ID: 30452
 
				
			",10003
134, Blue Devil Water Polo Club,"Primary Pool:
				Warren Township High School
				500 N. O'Plaine RDGurnee, IL  60031
				","
				 
					Club ID: 34556
 
				
			",10003
135, Cage Cap LLC,"Primary Pool:
				Chaminade College Preparatory School
				425 South Lindbergh BoulevardSt. Louis, MO  63131
				","
				 
					Club ID: 34647
 
				
			",10003
